Date,Open,High,Low,Close,Adj Close,Volume
2019-05-05,0.289300,0.292800,0.280900,0.286700,0.286700,1588766
2019-05-06,0.286700,0.297400,0.270500,0.291400,0.291400,2651974
2019-05-07,0.291400,0.297200,0.274400,0.275200,0.275200,1854694
2019-05-08,0.275200,0.294300,0.270000,0.287100,0.287100,1792243
2019-05-09,0.287100,0.288400,0.273700,0.275700,0.275700,1223921
2019-05-10,0.275700,0.286000,0.272500,0.280000,0.280000,1249135
2019-05-11,0.280000,0.319800,0.276900,0.314600,0.314600,4265182
2019-05-12,0.314600,0.318200,0.294600,0.302400,0.302400,2550786
2019-05-13,0.302400,0.351500,0.300000,0.336900,0.336900,5582681
2019-05-14,0.336900,0.378300,0.334900,0.374100,0.374100,7292133
2019-05-15,0.374100,0.439600,0.373200,0.437200,0.437200,10178177
2019-05-16,0.437200,0.464400,0.400500,0.413800,0.413800,10812954
2019-05-17,0.413800,0.425400,0.357600,0.396200,0.396200,6969553
2019-05-18,0.396200,0.401800,0.375300,0.380700,0.380700,2416835
2019-05-19,0.380700,0.428600,0.380100,0.422800,0.422800,5017606
2019-05-24,0.411431,0.411431,0.411431,0.411431,0.411431,0
